tweet,sarcastic
Nice to have insomnia again!!!!,1
That's good! There's a big gap between the rich and the poor on the farm. The rich don't steal.,1
Morakot... How do you do... I can't believe how good you are...,1
"Very good, that what expensive to the burst of Macallan 18 years, after the magic can not be ordinary people can learn, the big galangal, frankincense, Egyptian red myrrh, valerian all out again, I want to ask the Taoist priests to expel the spirit of wine in my body.",1
"Great... After a morning of system maintenance, I only have 1/3 of the money left in my warehouse!!!!",1
Good. Diner City's hanging up. My rating's about to hit rock bottom again.,0
The 2-way regression equation Yn=Bo+B1Xn+B2Xn2+en==Great! I'm with you.,0
"It's great! Yesterday I was helping my sister to try this hotspotshield thing, I successfully installed it, but he kept failing, and then I wanted to say that the webpage kept showing ads which was annoying, so I removed it. So I removed it. I removed it! My network was disconnected! Said it couldn't find my IP ........ Howdy ~~~~~~~~~~~~~~",1
"Special topics, volunteers, pre-trip instructions, environmental fishing crabs, report organizing plus part-time work! Very good, a week only seven days, not a day of leisure ~ really deeply feel in Changgeng will die of exhaustion ......",1
"Now I'm speechless ...... It's great, you can't log in anyway, so just shut up!",0
"The weather is really nice! I'm so cold! I want to go home and get long-sleeved clothes... I don't have to work on Saturday... I should've taken Friday off... I should've gone back to Kaja! But it's too late...it's too late to take off today! The date to go back to Jia is far away...Tears I think I'll just buy a new jacket or ask my parents to send me a jacket...anyway, I'll bring my pants and wear short sleeves + jacket in winter!!!!",1
Natti + Quaker Oatmeal meets new laxative! It's good for weight loss!,1
Great!!! The flying mosquitoes are becoming more and more noticeable!!!!!,1
"That's good! I have a sore throat again, I'm not in tune with what's going on.",1
It's good... My mom hit my car with her bike...,1
It's good. The library's closing again. There's still a lot of work to be done.,0
"I don't know if it's because I woke up too early and my brain is not clear, but I inserted the mircoSD card into the SIM card slot and shoved it in ............. And I knew I had to push it all the way through... It's great! I can't get it out, I haven't even turned it on yet, and I'm sending it back.",1
Good... I'm going to start learning Cubase! But it's faster to write MIDI on FL == +tears,0
I just got a ticket for being unemployed...,1
"The award announcement has been delayed again and again</content> You are very good you BenQ, shouldn't the list of judges have been finalized a few months ago, why would you come to say that all the judges are currently abroad so the decision is postponed at the critical moment! I don't think that's a good enough reason.",1
"Great, my plurk has made an unspecified error ""again""... This is the greatest invention of the century...",1
"Great...now I can't even turn on my computer...I've been having a really bad time lately, and I have to raise money to buy a computer.",0
"Good~ Good~ Yesterday, I had insomnia and went to bed at 3am and woke up at 6am... I don't even know who's sitting in front of the computer now.",1
Great... Someone got the new flu .... Help me... I'm outta here!!!!,1
"Great, Chrome on Mac has also upgraded to a version where pressing backspace under Chinese input method will go back to the previous page, switching back to Safari 4.",0
I'll be scared to death of the kids if it gets picked up!,1
Good things don't happen to me for more than a day. It's awesome.,1
"Good, my little peach red weighs 6.25kg !!!! What the hell am I supposed to carry...? .3.75kg!!!!!!!",1
"Good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good.",1
"Well, that's good! It's time for a new designer!!!!",1
Nice... I can't believe I'm having a stomach ache... Does that mean you want me to have a late-night snack? ♪ unsure,1
"That's good, number eight. !!!!! Mr. Policeman, are you in love with me?",1
"Great... If I keep doing this, I'm going to reach the point of ""brain capacity shortage""... It's not hard to convince people, but can you find out what's going on before you ask me to convince them? .........",1
"I love typhoons so much that I can't go to Nodai, and I can't even take a plane.",1
Good. There's a good chance I won't be able to get on the poker starting this afternoon.,0
"It's great! I'm obviously feeling the pressure of reports due this week, but I haven't even finished my birthday yet... ..... .dancebanana_rockbanana_cool",0
"That's good! I can't sleep is I can't sleep, and tomorrow I want to die again.",0
"I am so lucky! Today, my friend drew lots and got the oldest grandma in the lottery, 84 years old. I'm so happy I don't know what to say... I'm just so happy! It's just so silly, and she likes to speak in Japanese, so I thought, ""What a great challenge! This project is really challenging!",1
"That's good, Puffy. You can run a little slower...",1
Well the factory lady at the applause factory has been coming to work for years and years and told me that she doesn't know how to use outlook to send meeting notices!!!! I don't know how to use outlook to send meeting notices! What's the point of coming to work and just cutting up fruit? !!!! Give me your paycheck and I'll send you a notification!,1
This is great... I'm even doing the banner now.,1
"""==""""Very good ..... Going to interviews and trying to make stuff sucks! tars""",1
It's good to know that you don't have to give birth to a baby to have a mommy.,0
I heard Qiaofang say that my laptop is broken. It's good that the car is broken and the computer is broken!,1
"That's great, I really have a cold I'm going to play this weekend said",0
Very good... It's been a long time.,1
"Great, the original sin of moving fast is back... It's better if I have so many hands to work with!!!!",1
"I'm so strong, I've eaten with the team leader so many times without taking any money.",1
"That's good! The skinny one's done puking, and we're the grown-ups now!",1
"I was driving on the Taiwan-Kowloon line today, and a big truck was coming towards me, and a fist-sized rock flew out of nowhere, and landed right on top of my sedan in 1 second or 2 seconds! I was shocked by the sound of the rock, but the car was safe.",1
"Yesterday I went to bed at 4:00 + this morning I was woken up by my kids at 7:30am...great, I only slept for 3.5 hours!!!",1
"It's so sad and depressing to get up so early, but I'm forced to.",1
"Holiday, very good! Go do the dishes.",0
Jeju Obasan is really something~ The X gesture is a real punch in the face!,1
"Great, I've been carrying the ticket stubs around for over a week, and I keep forgetting to give them to Q. What's even funnier is that we've seen each other a couple of times recently!",0
Good. I'm full today.,0
"Three hours at noon, three hours in the evening... It's so efficient and effective...",1
It's good. Now even BB cream floats up on my face. My face is really dry. .tears,0
..... It's okay... It's fine... Just keep going ....,0
Official's wife's overbearing car blocked the road for 3 days Liu Shuling: this is the first time I have done this - the first time o This kind of reason is really grandiose,1
Very good ...... The look of a branded pillow ...... I'm dying ....... .tears,0
"That's good. I've been busy for a while, and now I don't have 100 cama's.",0
It's good. WEEKEND had a sick card horse and fell faster than the weight.,0
"Good, I didn't exercise all last week~ I'll start exercising tomorrow.",0
"Very, very good!!!! The source of my load is blocked by the damn IT ....",1
"Good, good, good, after msn was locked, now facebook is also locked, so now I can only talk back in poof.",1
Great! Now I'm doing all the design for the exhibition! Why don't I just open my own studio!,1
Good ㄚ Monday's report was moved to 10/30 meaning the report has to be rewritten.,1
"The big evil is getting worse, puking until the bile comes out! I went to the doctor again this morning. ""Gastroenteritis"". Good, it's getting worse! Reporting to the hospital every day.... .tears",1
Good~ I forgot to take my pills yesterday~ my ears are flooded again today,0
The quotes are so bleak and soul-crushing ..........,1
"I just went upstairs to use my husband's computer! I just went upstairs to use my husband's computer and realized that I bought a PS3 and I didn't even know about it! Why didn't I know about it?"" And he put it on his desk, so don't think that just because it's a bunch of black moms' stuff, I can't tell the difference between a keyboard, a monitor, and a PS3!",1
Good. It's 15 hours of crazy overtime today.,0
Total ride time today 4 hours 08 minutes and 86 kilometers averaging 20.7 mph very good I'm tired -*,0
"It's great, it's great, the company locked down Facebook 24/7!!!! I'm going to have to use my cell phone to visit my friends at night...",1
"When I was mopping the floor at school at night, all of a sudden...! @#$ a sound, the mop broke a bad, originally wanted to say can quickly do, quickly home, the result is still very late, because another mop for a long time hard off to soak, so I still use the time to wash the dishes first! Clock 07:02... Yes, sir! That's good! Two minutes slow!",1
It's good! Phone calls. Firecrackers. Motorcycle engines .......... What's next? ！！！！,0
It's good that I came back from vacation and met an ahjumma playing an idiot.,0
